First Name,Last Name,Title,Account Name,Status
Kevin,Wang,Vice President,.406 Ventures,Active Member Firm
Lawrence,Begley,Venture Partner,.406 Ventures,Active Member Firm
Rebecca,Redfield,Associate,.406 Ventures,Active Member Firm
Joseph,SantaBarbara,Chief Financial Officer,.406 Ventures,Active Member Firm
Austin,Kwoun,Analyst,.406 Ventures,Active Member Firm
Kathryn,Reddy,Principal,.406 Ventures,Active Member Firm
Joanna,Gilman,Chief Communications Officer,.406 Ventures,Active Member Firm
Greg,Dracon,Partner,.406 Ventures,Active Member Firm
Graham,Brooks,Partner,.406 Ventures,Active Member Firm
Maria,Cirino,Managing Partner,.406 Ventures,Active Member Firm
Liam,Donohue,Managing Partner,.406 Ventures,Active Member Firm
So-June,Min,Chief Financial Officer,.406 Ventures,Active Member Firm
Kelci,Horan,Office Manager and Executive Assistant,.406 Ventures,Active Member Firm
Payal,Divakaran,Partner,.406 Ventures,Active Member Firm
Rob,McCall,Associate,.406 Ventures,Active Member Firm
Matt,Reber,Partner,1315 Capital,Dropped
Jacky,Akpan,Controller,1315 Capital,Dropped
Jordan,Brown,Vice President,1315 Capital,Dropped
Jamie,Richardson,Associate,1315 Capital,Dropped
Brian,Schwenk,CFO,1315 Capital,Dropped
Adele,Oliva,Co-Founder & Partner,1315 Capital,Dropped
Michael,Koby,Co-Founder & Partner,1315 Capital,Dropped
Ian,Li,Principal,1315 Capital,Dropped
Tim,Einwechter,Operating Partner,1315 Capital,Dropped
Rick,Ferreira,Operating Partner,1315 Capital,Dropped
Anthony,Kobish,Operating Partner,1315 Capital,Dropped
Paul,Touhey,Operating Partner,1315 Capital,Dropped
John,Spitznagel,Operating Partner,1315 Capital,Dropped
Greg,Stokes,Operating Partner,1315 Capital,Dropped
Craig,Matturro,Principal,1315 Capital,Dropped
Edward,Chan,Partner,1315 Capital,Dropped
Claire,Wadlington,Managing Director,1414 Ventures,Active Member Firm
Jackie,Shoback,Managing Director and Co-Founder,1414 Ventures,Active Member Firm
Howard,Hall,Managing Director and Co-Founder,1414 Ventures,Active Member Firm
Mike,Engle,Managing Director,1414 Ventures,Active Member Firm
Harold,Moss,,1414 Ventures,Active Member Firm
David,Lane,Partner,1Flourish Ventures,Active Member Firm
Neil,Ahlsten,Partner,1Flourish Ventures,Active Member Firm
Tom,Tognoli,Partner,1Flourish Ventures,Active Member Firm
Bill,Hooper,Partner,1Flourish Ventures,Active Member Firm
Peter,Herz,General Partner,1st Course Capital,Active Member Firm
Renske,Lynde,General Partner,1st Course Capital,Active Member Firm
Carmen,Palafox,Managing Partner,2045 Ventures,Active Member Firm
Julien,Pham,Founder & Managing Partner,3CC - Third Culture Capital,Dropped
Jennifer,Xu,Director,500 Global,Active Member Firm
Sharif,Elbadawi,"Partner, MENA Fund",500 Global,Active Member Firm
Aman,Verjee,Chief Operating Officer,500 Global,Active Member Firm
Tanya,Soman,Venture Partner,500 Global,Active Member Firm
Mark,Goldenson,Venture Partner,500 Global,Active Member Firm
Rachael,Neumann,Partner // Head of Australia,500 Global,Active Member Firm
Arjun,Arora,,500 Global,Active Member Firm
Ryan,Williams,EIR,500 Global,Active Member Firm
Sheel,Mohnot,Partner,500 Global,Active Member Firm
Tamsin,Ashworth Reeves,,500 Global,Active Member Firm
Didier,Quiroz,Partner,500 Global,Active Member Firm
Taylor,Schaude,Investor Relations,500 Global,Active Member Firm
Aaron,Bailey,"Manager, Innovation & Partnerships",500 Global,Active Member Firm
Patrick,Driscoll,,500 Global,Active Member Firm
Vijay,Rajendran,Head of Portfolio Value,500 Global,Active Member Firm
María,Nuñez,,500 Global,Active Member Firm
Amit,Bhatti,,500 Global,Active Member Firm
Peter,Lee,,500 Global,Active Member Firm
Damaris,Mendoza,Partner,500 Global,Active Member Firm
Regina,Zurutuza,Partner,500 Global,Active Member Firm
Vera,Futorjanski,,500 Global,Active Member Firm
Jeffrey,Lim,,500 Global,Active Member Firm
Taz,Patel,,500 Global,Active Member Firm
