Account Name,Account Profile Type,Website
.406 Ventures,Member Firm,www.406ventures.com
1414 Ventures,Member Firm,https://1414Ventures.com
1Flourish Ventures,Member Firm,https://www.1flourish.com
1st Course Capital,Member Firm,https://www.1cc.vc/
2045 Ventures,Member Firm,https://www.2045vc.com/
500 Global,Member Firm,http://500.co
5AM Ventures,Member Firm,www.5amventures.com
645 Ventures,Member Firm,http://www.645ventures.com
7wire Ventures,Member Firm,www.7wireventures.com
82VS,Member Firm,https://www.alloytx.com/venture-studios/
Acario Innovation,Member Firm,www.acarioinnovation.com
Accel,Member Firm,accel.com
Accomplice,Member Firm,accomplice.co
Activate Capital,Member Firm,https://activatecp.com/
Activate Venture Partners,Member Firm,www.milestonevp.com
"Adams Capital Management, Inc.",Member Firm,www.acm.com
"Adams Street Partners, L.L.C.",Member Firm,www.adamsstreetpartners.com
Advaita Capital,Member Firm,https://advaitacap.com
Advantage Capital Partners,Member Firm,www.advantagecap.com
AI Capital,Member Firm,https://www.ai.vc
AI Triangle Ventures,Member Firm,https://www.aitrianglevc.com
Airbus Ventures,Member Firm,http://www.airbusventures.vc/
All Seasons Capital Management,Member Firm,http://www.ascm.com/
AlleyCorp,Member Firm,www.alleycorp.com
Alpha Partners,Member Firm,www.alphavp.com
Alsop Louie Partners,Member Firm,www.alsop-louie.com
Altira Group LLC,Member Firm,www.altiragroup.com
Altos Ventures,Member Firm,www.altosventures.com
Alzheimer's Drug Discovery Foundation,Member Firm,http://alzdiscovery.org
Amazon,Member Firm,https://aboutamazon.com
American Express Ventures,Member Firm,https://www.americanexpress.com/us/amexventures/
Amity Ventures,Member Firm,https://www.amity.vc/
Amplify Partners,Member Firm,http://www.amplifypartners.com/
Andreessen Horowitz,Member Firm,www.a16z.com
Applied Research Institute,Member Firm,https://theari.us/contact-us/
"Applied Ventures, LLC",Member Firm,www.appliedventures.com
Arboretum Ventures,Member Firm,www.arboretumvc.com
ARCH Venture Partners,Member Firm,www.archventure.com
Aretê Corporation,Member Firm,www.arete-microgen.com
Artis Ventures,Member Firm,https://av.co
Ascension Ventures,Member Firm,www.ascensionhealthventures.org
Asset Management Company,Member Firm,www.assetman.com
ASU Enterprise Partners,Member Firm,https://www.asuenterprisepartners.org/
At One Ventures,Member Firm,https://www.atoneventures.com/
